id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47047917,High Floor/ Water View/By CN tower/2 beds/ Parking,170442661,Dalya,,Waterfront Communities-The Island,43.64518481096919,-79.38848007500545,Entire home/apt,,28,35,2022-07-17,0.88,3,0,0,STR-2011-HWJKVL
47050411,1000 sq ft of Luxury Living in The Annex,273658759,Bas,,Annex,43.66843003926187,-79.40420690930077,Entire home/apt,198,31,3,2024-04-15,0.08,12,352,1,
47050744,Private Oasis in the Annex 2000 sq ft of Luxury,273658759,Bas,,Annex,43.67058,-79.40358,Entire home/apt,283,31,4,2023-06-18,0.12,12,11,1,
47075761,C3: Large Studio by Toronto Beach/Leslieville+WiFi,380469342,San (Oi Sze),,Greenwood-Coxwell,43.66808,-79.31841,Entire home/apt,65,28,33,2023-10-01,0.82,3,161,5,STR-2012-HQPHHK
47076130,Luxurious Room with Living Space,145141460,Josip,,Greenwood-Coxwell,43.673,-79.32282,Private room,160,1,42,2023-09-14,1.88,4,340,11,STR-2206-FRDDVC
47081837,Stylish & Bright 2BR apartment in the heart of TO,221749433,Alice,,Bay Street Corridor,43.66341,-79.38417,Entire home/apt,500,180,0,,,1,365,0,
47110882,"Luxury 2-storey Loft in the Village, Downtown TO",13508571,Tara Lynne,,Church-Yonge Corridor,43.66307,-79.38347,Entire home/apt,195,28,6,2023-11-02,0.20,1,170,2,
47113634,Updated Bachelor Close to Subway 2,30654608,David,,Dufferin Grove,43.65701,-79.43375,Entire home/apt,65,28,8,2023-12-31,0.35,13,164,4,
47115946,Studio near Davisville Sub. Station,380706371,Plinio,,Mount Pleasant West,43.69812,-79.39389,Entire home/apt,,30,0,,,1,0,0,
47120646,Immaculate 3 beds upper Flr in Trinity Park,114344363,Trang,,Trinity-Bellwoods,43.65149,-79.41472,Private room,440,28,9,2022-12-26,0.23,6,179,0,STR-2011-GXHDVH
47122053,Perfect Community & Warm & Quiet Private Cottage,130662121,Jian  谏,,Bendale,43.76482,-79.24914,Entire home/apt,136,28,0,,,3,90,0,
47135393,Breathtaking Penthouse -At The CN Tower!,380807998,Mj,,Waterfront Communities-The Island,43.64391,-79.38899,Entire home/apt,175,31,15,2024-03-31,0.39,1,87,3,
47144673,Downtown Toronto LUXURY 2BR 2BTH Condo,138428562,Natalie,,Waterfront Communities-The Island,43.64347,-79.38048,Entire home/apt,,30,0,,,1,0,0,
47170939,Newly Renovated 3 BR Suite; Wifi; Sheppard Subway,43208025,Judy,,Willowdale East,43.75863,-79.40295,Private room,400,28,0,,,7,90,0,
47196239,Historic Building Yorkville Apartment,62976285,Sara,,Annex,43.67418,-79.39366,Entire home/apt,,28,1,2022-08-03,0.05,3,0,0,
47197603,Room in North York,148443249,Nabila,,Banbury-Don Mills,43.72906024509414,-79.34102518518807,Private room,79,1,3,2024-04-28,2.43,2,265,3,STR-2402-HTMVHY
47220704,"Bright 1 Bedroom, by UofT+ +laundry+parking",342457783,Sophie,,Palmerston-Little Italy,43.65918,-79.41009,Entire home/apt,,28,9,2023-08-02,0.30,14,78,3,
47254321,Comfy & Clean Room - Little Italy :),305136681,Ying,,Trinity-Bellwoods,43.65231,-79.42295,Private room,59,1,186,2024-04-26,4.61,3,30,65,STR-2012-HHGBHJ
47269353,Private 2 bedrooms apartment,206748222,Zhi,,Milliken,43.82176,-79.27481,Entire home/apt,111,5,37,2024-03-14,1.15,1,260,9,STR-2012-GKCPHF
47273651,Studio Condo Downtown Toronto,65115010,Samuella,,Niagara,43.63589,-79.40744,Entire home/apt,,28,0,,,1,0,0,
47289012,Nice Masterbedroom upper unit has private bathroom,52477674,Peihong,,Woodbine Corridor,43.68343,-79.3181,Private room,,28,3,2024-04-01,0.54,2,0,3,STR-2012-FYQKVD
47293534,"Big 3 bdrm  Parkdale dwntwn Toronto. Yard, BBQ, TV",23947982,Jane,,South Parkdale,43.63709,-79.43982,Entire home/apt,185,28,14,2023-10-31,0.36,1,264,2,
47296993,Toronto -Luxurious-Penthouse-CNTower- Beautiful,367719901,Ak,,Waterfront Communities-The Island,43.64307,-79.38193,Entire home/apt,,30,129,2023-10-08,3.25,2,1,4,STR-2107-GRQVHG
47306539,One bedroom in cool space,346583406,Ishak Abubakar Yahya,,Regent Park,43.66238,-79.35751,Private room,,28,0,,,4,0,0,
47306714,Small bedroom in cool apartment,346583406,Ishak Abubakar Yahya,,Regent Park,43.66441,-79.35658,Private room,,28,0,,,4,0,0,
47307060,Separate lower level 1 bedroom apartment,62546462,Ali,,Oakwood Village,43.69347,-79.43662,Entire home/apt,65,28,17,2024-04-29,0.44,2,335,4,STR-1234-ABCDEF
47311181,!NEW entire 1 bedrm suite wifi+laundry+kitch+bath,364587857,Tina,,Clairlea-Birchmount,43.70693,-79.26509,Entire home/apt,65,90,4,2023-05-15,0.16,2,282,1,
47314550,"Large renovated, furnished 1 BR basement apartment",20984148,Christina,,Casa Loma,43.67991,-79.40041,Entire home/apt,300,2,41,2023-12-24,1.07,1,346,10,STR-2012-FZPHHD
47318495,Private room downtown shared kitchen and bathroom,382083726,Manan,,Palmerston-Little Italy,43.6606,-79.42778,Private room,,29,0,,,1,0,0,
47334403,Modern 2BR + 1.5 BA with Parking,382183825,Autumn,,Moss Park,43.65286,-79.36978,Entire home/apt,1999,30,0,,,1,180,0,
47350469,Modern Yorkville One Bedroom Suite,335994135,Rad,,Rosedale-Moore Park,43.67142,-79.38718,Entire home/apt,110,28,3,2022-09-06,0.08,4,250,0,
47350946,Sleek Modern Yorkville Suite,335994135,Rad,,Annex,43.67132,-79.38742,Entire home/apt,179,31,1,2023-09-10,0.12,4,307,1,
47359814,Private Entrance Bedroom and Bathroom Basement,382359280,Mira,,Englemount-Lawrence,43.71455,-79.4377,Entire home/apt,93,2,87,2024-04-28,2.16,1,127,33,STR-2211-GLXPHT
47368961,284B2 Bright bedroom in little Italy,354779562,Kaiyan,,Trinity-Bellwoods,43.65438,-79.40791,Private room,70,28,13,2023-08-28,0.40,19,31,2,
47370561,4B 1 Bed 1 Bath | Downtown TO | Richmond St W,37514178,TO Stays,,Waterfront Communities-The Island,43.64914,-79.38879,Entire home/apt,99,30,1,2024-02-11,0.34,20,270,1,
47389938,Large 2 Bedroom & 1 BathYonge & Sheppard - YS25,12742095,Emil & Sue,,Willowdale East,43.76298,-79.40929,Entire home/apt,231,28,5,2024-04-15,0.22,4,148,3,
47403742,Bright Rose,314325370,Nastaran,,Westminster-Branson,43.78774,-79.46079,Private room,70,29,0,,,4,270,0,
47404266,Shrub Rose,314325370,Nastaran,,Westminster-Branson,43.78726,-79.46034,Private room,70,29,0,,,4,179,0,
47437741,Beautiful & Cozy Studio With Terrace In Yorkville,354808129,Erin,,Annex,43.66916,-79.39376,Entire home/apt,,28,10,2023-09-20,0.30,5,46,3,
47442639,Sonder The Beverley | Small Single Room,301014754,Sonder (Toronto),,Waterfront Communities-The Island,43.64845,-79.39156,Private room,317,2,9,2024-02-07,0.23,32,278,1,Approved by government
47442721,Sonder The Beverley | Basic Full Room,301014754,Sonder (Toronto),,Waterfront Communities-The Island,43.64964,-79.39109,Private room,343,2,23,2023-12-27,0.59,32,322,4,Approved by government
47442807,Sonder The Beverley | Full Room,301014754,Sonder (Toronto),,Waterfront Communities-The Island,43.6485,-79.39257,Private room,388,2,3,2021-12-21,0.08,32,321,0,Approved by government
47442852,Sonder The Beverley | Queen Room,301014754,Sonder (Toronto),,Waterfront Communities-The Island,43.64844,-79.39088,Private room,398,2,17,2022-05-15,0.43,32,295,0,Approved by government
47445353,Spacious 2 bedroom at TO West + Lg private deck,27998605,"Robert & Catherine, Husband & Wife",,Dufferin Grove,43.65213,-79.43692,Entire home/apt,96,28,3,2022-09-16,0.08,3,66,0,
47446007,Private living room space near RYERSON & CHURCH St,40129122,Shylene,,Church-Yonge Corridor,43.66417,-79.37746,Shared room,39,28,42,2024-03-01,1.11,11,90,19,STR-2206-GXRDVH
47471001,"Clean, Sanitized & Comfy Private Space Dt",202071963,Neal,,Church-Yonge Corridor,43.66203,-79.37719,Shared room,41,29,4,2024-04-10,0.10,5,67,1,
47471515,"DT Room, Clean, Sanitized & Cozy",202071963,Neal,,Moss Park,43.66216,-79.37607,Private room,59,29,3,2024-03-22,0.69,5,59,3,
47476318,"ZNew 2 BD High Park steps to Subway, gr8 internet",146226441,Inna,,High Park North,43.65774,-79.4699,Entire home/apt,129,28,9,2023-11-27,0.26,37,171,3,
47487414,Hip 1bed/1bath Garden Suite in Little Italy,51070968,Lish,,Trinity-Bellwoods,43.65445,-79.40885,Entire home/apt,67,29,13,2024-04-30,0.33,7,124,3,
47489885,PRESIDENTIAL LOFT - STUNNING WATER AND CITY VIEWS,203561104,Darya,,Waterfront Communities-The Island,43.64342,-79.3795,Entire home/apt,400,28,1,2023-03-04,0.07,4,293,0,
47499689,Beautiful condominium with gorgeous city view!,378293117,Ungbeen,,Waterfront Communities-The Island,43.64117,-79.39812,Entire home/apt,191,1,358,2024-05-02,8.85,1,42,80,STR-2110-HVPPHL
47500817,**Annex** Bright 2 BRms/Laundry/Parking/,379013088,Sophie,,Dovercourt-Wallace Emerson-Junction,43.6681,-79.42052,Entire home/apt,1999,28,7,2022-03-26,0.19,22,90,0,
47506614,Furnished one-bedroom basement apartment,146797732,Shervan,,Mount Olive-Silverstone-Jamestown,43.75126,-79.58668,Entire home/apt,46,29,2,2023-05-13,0.15,1,313,1,
47511963,High-rise with beautiful view of Toronto’s skyline,303168464,Marjan,,Bayview Village,43.76822,-79.37011,Entire home/apt,,28,15,2021-05-29,0.37,1,0,0,STR-2012-FYDVHD
47513744,Newly Renovated BR; Pvt Bath; Walk to Subway; #3,43208025,Judy,,Willowdale East,43.75846,-79.40263,Private room,,28,7,2024-01-20,0.18,7,28,2,STR-2101-HXQRVL
47520061,"Annex 1BR Loft with Private Terrace, Easy Parking!",379013088,Sophie,,Annex,43.66731,-79.41974,Entire home/apt,1999,28,3,2022-04-10,0.08,22,90,0,
47520661,Downtown Top Floor Bright Loft Style 1 BDRM + Deck,379013088,Sophie,,Dovercourt-Wallace Emerson-Junction,43.66658,-79.42042,Entire home/apt,1999,28,5,2021-10-01,0.13,22,90,0,
47533286,Lovely Room nearby CN Tower and Harbourfront,248664691,Niall,,Waterfront Communities-The Island,43.63924,-79.39699,Private room,108,1,240,2024-05-03,6.02,2,347,61,STR-2012-FJSXVB
47534015,Cozy private room in a lovely neighbourhood,201039808,Davood,,Willowdale West,43.77273,-79.43965,Private room,45,28,0,,,2,244,0,
47537022,New beautiful room private bath downtown Toronto,375082039,Hai Nam,,University,43.66161,-79.40895,Private room,129,28,70,2024-01-27,1.73,1,115,2,STR-2011-HPDRVK
47575815,Bright. Spacious. Quiet 3-BDRM *Free Parking*,10049710,Chris & Mark,,Kensington-Chinatown,43.65085,-79.39416,Entire home/apt,190,28,15,2024-04-29,0.44,2,288,6,
47581347,"Gorgeous 3bed,1.5bath Top 2 Levels of Home, Parkng",51070968,Lish,,Trinity-Bellwoods,43.6550885894975,-79.40891669514939,Entire home/apt,240,28,9,2024-03-06,0.25,7,142,3,
47581492,Marvellous Presidential Loft - City and Lake Views,203561104,Darya,,Waterfront Communities-The Island,43.64326,-79.38156,Entire home/apt,400,28,34,2023-07-23,1.08,4,293,1,STR-2101-GHQPHF
47581751,Stay like a Real Torontonian on trendy St Clair W!,15603266,Curtis,,Corso Italia-Davenport,43.67843,-79.44171,Entire home/apt,163,2,52,2024-05-05,1.32,1,332,16,STR-2101-FQZDVC
47582161,Amazing Ontario Lakeview cottage 3,219778568,Da,,Scarborough Village,43.73208,-79.21326,Entire home/apt,119,28,14,2023-12-17,0.37,3,99,2,STR-2101-HHVKVJ
47583578,"Bloor&Christie Lower Level 1BR/1BA, Laundry, Yard!",379013088,Sophie,,Dovercourt-Wallace Emerson-Junction,43.668,-79.42054,Entire home/apt,1999,28,6,2021-11-02,0.15,22,90,0,
47702253,Private Room  in bsmt- Full bed,294519576,Christel,,Humber Summit,43.75678,-79.56758,Private room,,30,11,2022-05-27,0.28,3,0,0,STR-2011-FZSXVD
47705028,Stunning Modern Home/4BDRM 3.5BTH/Pet Friendly/WFH,384293104,Soghra,,Woodbine Corridor,43.66961,-79.31169,Entire home/apt,750,30,6,2022-06-30,0.16,1,180,0,
